track_name,album_name,valence,energy,speechiness,loudness,tempo,album_release_year,lyrics,duration_ms
Circles,Circles,0.37,0.0316,0.0486,-15.186,151.964,2020,"Well this is what it look like right before you fall
Stumblin' around, you've been guessin' your direction
Next step you can't see at all
And I don't have a name, I don't have a name, no
Who am I to blame, who am I to blame though?
And I cannot be changed, I cannot be changed, no
Trust me, I've tried
I just end up right at the start of the line
Drawin' circles
Well I drink my whiskey, you sip your wine
Went through a wall, sittin',
Watchin' the world falling down its decline
And I can keep you safe, I can keep you safe
Do not be afraid, do not be afraid
You're feelin' sorry, I'm feelin' fine
Don't you put any more stress on yourself
It's one day at a time
It's gettin' pretty late, gettin' pretty late
And I find it goes around like the hands that keep countin' the time
Drawin' circles",170360
Complicated,Circles,0.601,0.36,0.052,-8.073,75.014,2020,"Outside it's cloudy but I like that better (better, better)
Behind the wheel, but still ain't on my way
Some people say they want to live forever
That's way too long, I'll just get through today
Without any complications
Does it always gotta, does it always gotta
Gotta be so complicated?
Well, I'm way too young to be gettin' old
Mm, and all I wanna do is look, but I can't see, baby
Who you talkin' to while you talkin' to me, baby?
Let me, let me know if I can see you later
We could make it easy
Inside my head is gettin' pretty cluttered (cluttered, cluttered)
I tried but can't clean up this mess I made
'Fore I start to think about the future
First, can I please get through a day?
Without any complications
Does it always gotta, does it always gotta
Gotta be so complicated?
Well, I'm way too young to be gettin' old
Some people say they want to live forever
Without any complications
Does it always gotta, does it always gotta
Gotta be so complicated?
Well, I'm way too young to be gettin' old",232211
Blue World,Circles,0.508,0.553,0.419,-8.98,84.931,2020,"It's a blue world without you
It's a blue world alone
Yeah, well, this mad world made me crazy
Might just turn around, do 180
I ain't politickin', I ain't kissin' no babies
The devil on my doorstep bein' so shady
Mmm, don't trip
We don't gotta let him in, don't trip
Yeah, yeah
I let it go, but I never go with it
Uh, yeah
Okay, cool as fall weather
Fuck the bullshit, I'm here to make it all better
With a little music for you
I don't do enough for you
Without you, it's the color blue
Ooh, don't trip
I was in the city, they was talkin' that shit
Had the homies with me, all a sudden, they split
We ain't even worried, we just laughin', that's rich
You know how it goes, it ain't broke, don't fix
Hey, one of these days we'll all get by
Don't be afraid, don't fall
Think I lost my mind, reality's so hard to find
When the devil tryna call your line, but shit, I always shine
Even when the light dim
No, I ain't God, but I'm feelin' just like Him
Ooh, don't trip
See, I was in the whip, ridin', me and my bitch
We was listenin' to us, no one else, that's it
That's a flex, just a bit, let me talk my shit
Say my hand got bit
Yeah, well, this mad world made me crazy
Might just turn around, do 180
I ain't politickin', I ain't kissin' no babies
The devil on my doorstep bein' so shady
Mmm, don't trip
We don't gotta let him in, don't trip
Yeah, yeah
I let it go, but I never go with it
Uh
Don't trip
Don't trip
Don't trip
Well, if you could see me now
Love me and hold me down
My mind, it goes, it goes
It goes, it goes, it goes
Well, this mad world made me crazy
Might just turn around, do 180
I ain't politickin', I ain't kissin' no babies
The devil on my doorstep bein' so shady
Mmm, don't trip
We don't gotta let him in, don't trip
Yeah, yeah
I let it go, but I never go with it
Uh
Hey, one of these days we'll all get by
Don't be afraid, don't fall in line",209440
Good News,Circles,0.241,0.32,0.173,-12.92,174.088,2020,"I spent the whole day in my head
Do a little spring cleaning, I'm always too busy dreaming
Well, maybe I should wake up instead
A lot of things I regret but I just say I forget
Why can't it just be easy?
Why does everybody need me to stay?
Oh, I hate the feeling
When you're high but you're underneath the ceiling
Got the cards in my hand, I hate dealing
Yeah
Get everything I need, then I'm gone
But it ain't stealing
Can I get a break?
I wish that I could just get out my goddamn way
What is there to say?
There ain't a better time than today
Maybe I'll lay down for a little, yeah
'Stead of always trying to figure everything out
And all I do is say sorry
Half the time, I don't even know what I'm saying it about
Good news, good news, good news
That's all they wanna hear
No, they don't like it when I'm down
But when I'm flying, oh, it make 'em so uncomfortable
So different, what's the difference?
When it ain't that bad
It could always be worse
I'm running out of gas, hardly anything left
Hope I make it home from work
Well, so tired of being so tired
Why I gotta build something beautiful just to go set it on fire?
I'm no liar, but sometimes the truth don't sound like the truth
Maybe 'cause it ain't, I just love the way it sound when I say it
Yeah, it's what I do
If you know me, it ain't anything new
Wake up to the moon, haven't seen the sun in a while
But I heard that the sky's still blue, yeah
Heard they don't talk about me too much no more
And that's a problem with a closed door
Good news, good news, good news
That's all they wanna hear
No, they don't like it when I'm down
But when I'm flying, oh, it make 'em so uncomfortable
So different, what's the difference?
There's a whole lot more for me waiting on the other side
I'm always wondering if it feel like summer
I know maybe I'm too late, I could make it there some other time
I'll finally discover
That there's a whole lot more for me waiting
That there's a whole lot more for me waiting
I know maybe I'm too late, I could make it there some other time
Then I'll finally discover
That it ain't that bad
Ain't so bad
Well, it ain't that bad
At least it don't gotta be no more
No more, no more, no more, no more
No more, no more, no more, no more
Hey
Mm, hey, mm",342040
I Can See,Circles,0.0546,0.503,0.0882,-9.922,114.86,2020,"I'm so close I can taste it
The man on the moon keep playing
Practical jokes, planting the mirrors and smoke
That I fade away in
You be complaining
And I can't explain it
I guess, nothin' compare to the feeling
I'm feeling amazing
Now I'm switchin' location
'Cause Heaven too far when you live in the basement
I'm lookin' for balance, I'm in an oasis
Well, I need somebody to save me, hmm
Before I drive myself crazy
And now I know if life is but a dream then so are we
Show me something, show me something, show me something
And now I know if life is but a dream then so are we
Show me something, show me something, something I can see
Yeah, don't tell me to stop
Let me keep goin' until I cannot
Life is a fantasy until you wake up in shock
Hittin' the ground, I'm hittin' the ground, I fell from the top
You never expect to drop, so hold on, but
That just the way it goes, your God don't wait for no one
And when that's all you know, it keep you on your toes
You got so far to go, but look at where you came from
And now I know if life is but a dream then so are we
Show me something, show me something, show me something
And now I know if life is but a dream then so are we
Show me something, show me something, something I can see",220853
Everybody,Circles,0.112,0.599,0.138,-9.077,152.061,2020,"Everybody's gotta live
And everybody's gonna die
Everybody just wanna have a good, good time
I think you know the reason why
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh
Everybody's gotta live
And everybody's gonna die
Everybody gotta live
I think you know the reason why
Yeah, sometimes the goin' gets so good
Yeah, but then again, it get pretty rough
Yeah, when I have you in my arms, baby
You know I just can't, I just can't get enough
Everybody's gotta live
And everybody's gonna die
Everybody's gonna try to have a good, good time
I think you know the reason why
Saw a blind man standing on the corner, baby
Yeah, and he couldn't hardly tie his shoes
Yeah, harmonica and guitar strapped around his neck
But he sure could, he sure could play the blues
Everybody's gotta live
And everybody's gonna die
Everybody's gonna try to have a good, good time
I think you know the reason why
Yeah
Feel like I've seen a million sunsets, yeah
If you're with me, I'll never go away
Yeah, that's when I stopped and I took a look at my baby
She said, ""If you're with me, I won't go away""
Because everybody's gotta live
And everybody's gonna die
Everybody's gonna try to have a good, good time
I think you know the reason why",256506
Woods,Circles,0.46,0.362,0.0474,-10.847,85.011,2020,"Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, things like this ain't built to last
I might just fade like those before me
When will you forget my past?
Got questions, ask, you know the stories
And you need to let me know
When you're leaving, where you go
Can I come?
Do you believe me, are you close?
Yeah, even if you don't
That'll get you sprung
Do I, do I, do I love?
Can I, can I, can I get enough?
Yeah, don't run away, love
Hate love, heartbreak will have you bankrupt
Too many days in a daze, better wake up
I put your face in a place where the space was
Nobody makes you feel like you but (Do I?)
And you don't know what you should do
You just lookin' for someone to make you move, ooh, tell me (Do I?)
I make this planet feel like home
Results first time the door is closing
So far beyond all our control
You say your soul's so close to broken
It's so much better when you wait
Forever and a day, that's all I got
Put it together then it breaks
All the energy it takes, it never stop
Do I, do I, do I love?
Can I, can I, can I get enough?
Yeah, I never slip, I never fall
I tried to tell you 'bout a better life
And get involved big or small
It's been my fault, I keep it safe, it's in the vault
Blindfold her, keep it going 'til we hit a wall, yeah
I'm never going through the motions
I'm just tryna lay your body down slowly
We can only go up
We can only go up
Do I, do I, do I love?
Can I, can I, can I get enough?",286386
Hand Me Downs,Circles,0.336,0.33,0.149,-11.198,68.985,2020,"I'm thinkin' maybe I should thank you
Oh baby, I should buy you another round
'Cause you care, and I swear that I'm here, but I'm there
It's gettin' harder to hunt me down
Get away to a place with a lake, such a great view
Leave the bank, couple hundred thou'
I made it, but hate once I build it I break it down
Might just break me down
And all I ever needed was somebody
With some reason who can keep me sane
Ever since I can remember
I been keeping it together but I'm feeling strange
Get away when it ain't really safe
And it don't seem right
But what's new? You get used to the bullshit
The screws, they go missing
It's likely they might be, but
You remind me
Shit, I need to stay in line
You damn-well are a great design
You despite bein' an only child
Say you need more of a family 'round
Let's turn these jeans into hand me downs
Down, down
Down, down, down
Down, down
Down, down, down
Yeah, well I'm just being honest, my conscience ain't doing bad
Because I try to minus the problems that I attract
And half the, time the wheels that's in the back of my mind
Just keep on turning 'til the tires flat and burn until the fire crack
I do not lie, though facts may seem a little far-fetched
That's only 'cause I may be make-believe and full of darkness
When I'm stuck between a rock and hard place
Walk and drop in change inside your empty guitar case
That's charity, um
I move carelessly, that's why I'm always trippin'
I guess it's like electrolytes, you help me go the distance
Not too efficient, but the way it's always been
Until the day we have to meet again
Get away when it ain't really safe
And it don't seem right
But what's new? You get used to the bullshit
The screws, they go missing
It's likely they might be, but
You remind me
Shit, I need to stay in line
You damn-well are a great design
You despite bein' an only child
Say you need more of a family 'round
Let's turn these jeans into hand me downs
Down, down
Down, down, down
Down, down
Down, down, down",298440
That's On Me,Circles,0.342,0.499,0.0261,-10.086,155.199,2020,"That's on me, that's on me, I know
That's on me, that's on me, it's all my fault
That's on me, that's on me, I know
That's on me, that's on me, I know
Time movin' slowly, I'm bouncin' my head off the wall
I know nobody that knows where we're goin' at all
Don't, don't, don't, don't let me down
And I'll pick you up, I'll help you get around
That's on me, that's on me, I know
That's on me, that's on me, it's all my fault
That's on me, that's on me, I know
That's on me, that's on me, I know
I'll let it go
I'll cut the strings
Today, I'm fine
I don't know where I've been lately, but I've been alright
I said, ""Good morning"" this morning and I'll say, ""Goodnight""
Don't, don't, don't, don't wait around
We'll take the stairs that gets us into there
It's unfair when I'm bein' too proud, but
That's on me, that's on me, I know
That's on me, that's on me, it's all my fault
That's on me, that's on me, I know
That's on me, that's on me, I know",217868
Hands,Circles,0.542,0.627,0.171,-8.608,74.962,2020,"yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, why don't you wake up from your bad dreams
When's the last time you took a little time for yourself?
There's no reason to be so down
Rather fly around like there's no ground
And I, I bet you wish you had these
'Cause carryin' this weight'll break your glass knees, yeah
Don't need no chauffeur, fuck the backseat
No, I stay behind the wheel and never half speed
Get the fuck out of my car, this ain't a taxi
They love to see me lonely, hate to see me happy
Call me what you want, she call me daddy
Got a knack for getting nasty everyday, we keep a tally, yeah
Oh, it's true, I want it badly
Hit the zoom, I be moving like a athlete
(Now concentrate) no reason to be that upset
I'm busy tripping 'bout some shit that still ain't even happen yet
I keep it honest as honesty gets
Don't know why I'm always talking if I'm not making sense
I spent my life living with a lot of regrets
You throw me off my high horse, I'll probably fall to my death
it's obvious you not on your best
I might just pull your card if it's on top of the deck
Gimme, gimme what I need and then I'm onto the next
That's what we calling cause and effect
Yeah, why don't you wake up from your bad dreams
When's the last time you took a little time for yourself?
There's no reason to be so down
Rather fly around like there's no ground
And I, I bet you with you had these
'Cause carrying this wait'll break your glass knees, yeah
Don't need no chauffeur, fuck the backseat
No, I stay behind the wheel and never half speed
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah",199981
